SITIO_DESEMBARCO_METODO_DE_PESCA;Cuartil_inf_NUMERO_PESCADORES_hist;Cuartil_sup_NUMERO_PESCADORES_hist
Palomar_Atarraya;1;2
Vida Tranquila_Red de enmalle fija continental;1;2
Vida Tranquila_Palangre calandrio;1;2
Vida Tranquila_Flecha;2;2
Vida Tranquila_Atarraya;1;2
Santa Rosa_Red de enmalle de deriva marina;2;3
Barrio Chino_Chinchorro continental;3;4
Barrio Chino_Red de enmalle fija continental;1;2
Barrio Chino_Palangre calandrio;1;2
Barrio Chino_Atarraya;1;2
Tierra Santa_Red de enmalle fija continental;1;2
Tierra Santa_Atarraya;1;2
El Pájaro_Red de enmalle de deriva marina;2;2
El Pájaro_Red de enmalle fija marina;2;3
El Pájaro_Red de enmalle chuchera;2;2
Mayapo_Red de enmalle fija marina;2;3
Mayapo_Buceo marino mixto;2;4
Mayapo_Palangre o espinel de fondo;2;3
Lomita Arena_Línea de mano;1;3
Palanca_Línea de mano;1;2
Palomar_Línea de mano;1;2
Mantequera_Red de enmalle fija continental;1;2
Mantequera_Palangre calandrio;1;2
Mayapo_Buceo de langosta;2;3
Concepción - Tacamocho_Atarraya;1;2
Puerto Amor_Palangre calandrio;1;2
Rincón_Buceo de peces;2;2
Manaure Centro_Buceo de peces;4;4
Damaquiel_Atarraya;1;1
San Nicolás (Santa Cruz De Mompox)_Palangre calandrio;1;2
Cabo de la Vela_Red de enmalle de deriva marina;2;3
Lomita Arena_Chinchorro marino;10;17
Santa Rosa_Nasas de Peces;3;3
Guacamayo_Atarraya;1;2
Barrio Chino_Línea de mano;1;2
Piedras Blancas_Nasas de Peces;4;7
Puerto del Cerrito_Palangre calandrio;2;2
Piedras Blancas_Buceo de langosta;2;4
Lamas_Buceo de peces;1;2
Belén (El Banco)_Chinchorro continental;3;4
Casco urbano Roma_Nasas de Peces;1;1
Puerto Amor_Atarraya;1;2
Santa Clara_Red de enmalle de deriva continental;1;2
Santa Rosa_Buceo marino mixto;3;6
Aipir_Red de enmalle de encierro marina;4;10
Villanueva_Palangre calandrio;1;1
Cabo de la Vela_Red de enmalle chuchera;2;3
Cispataca_Nasas de Peces;1;2
Piedras Blancas_Red de enmalle de deriva marina;3;3
Tierra Santa_Red de enmalle de deriva continental;2;2
Poportín_Red de enmalle fija marina;2;3
Poportín_Buceo marino mixto;4;9
Puerto La Candelaria_Chinchorro continental;1;3
Lomita Arena_Red de enmalle de encierro marina;4;5
Caño Grande_Línea de mano;1;1
Barrio Chino_Red de enmalle de deriva continental;1;2
San Sebastian_Atarraya;1;2
Guacamayo_Chinchorro continental;2;5
Puerto Boquillas_Palangre calandrio;1;2
Jodedor_Palangre o espinel de fondo;3;3
El Toro_Atarraya;2;2
Bahía de Santa Marta_Línea de mano - Ballestilla;2;4
Mayapo_Línea de mano;2;3
San José_Nasas de Peces;1;2
Casino_Línea de mano correteo curricán o trolling;2;3
Puerto del Cerrito_Chinchorro continental;2;4
Macurutú - Saloa_Chinchorro continental;4;6
Bahía de Santa Marta_Palangre o espinel de fondo;1;2
Orejero_Atarraya;2;2
Puerto Montecristo_Palangre calandrio;1;1
Campo alegre_Atarraya;1;2
Orejero_Palangre calandrio;1;2
Damaquiel_Palangre o espinel de fondo;2;3
Mantequera_Atarraya;1;2
San Sebastian_Línea de mano;1;1
Cispataca_Palangre calandrio;2;2
Lomita Arena_Buceo de peces;3;5
Playa Totumo_Palangre o espinel de fondo;2;2
Guazo_Nasas de Peces;3;5
Puerto La Candelaria_Red de enmalle de deriva continental;1;2
Villanueva_Nasas de Peces;1;1
Santa Clara_Chinchorro continental;2;3
Palomar_Red de enmalle de deriva continental;1;2
Bocas de Seheve_Red de enmalle de deriva continental;2;4
Cecilia_Red de enmalle de deriva continental;1;2
Villa Venecia_Red de enmalle de encierro continental;2;2
Villa Venecia_Buceo de peces;1;2
Nueva Estrella_Red de enmalle de encierro continental;2;4
Lamas_Red de enmalle de encierro continental;2;2
Cispataca_Red de enmalle de deriva continental;1;2
San Nicolás (Santa Cruz De Mompox)_Atarraya;1;2
Guacamayo_Red de enmalle de deriva continental;2;2
San José_Red de encierro chuchaca;4;4
Tapegua_Red de enmalle fija continental;2;2
Tapegua_Atarraya;2;2
Arquimedes_Atarraya;1;2
Arquimedes_Línea de mano;1;2
El Valle_Palangre o espinel de fondo;1;3
Plaza de mercado (La Dorada)_Chinchorro continental;4;4
El Valle_Línea de mano;1;3
