SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Rincón_Atarraya - Atarraya_Caquetaia kraussii;0,3;5,71
Rincón_Atarraya - Atarraya_Cyphocharax magdalenae;1;38,3
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Oreochromis niloticus;2,3;10,35
Belén (San Marcos)_Red de enmalle - Red de encierro chuchaca_Plagioscion magdalenae;2;6
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,49;6
Belén (San Marcos)_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;0,5;7,1
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,3;7,8
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;0,21;3,75
Palo Alto_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;0,5;5,2
Palo Alto_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,5;4,58
Palo Alto_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1;7
Palo Alto_Red de enmalle - Red de enmalle de deriva continental_Curimata mivartii;1,35;7,65
San Nicolás (Nechí)_Atarraya - Atarraya_Triportheus magdalenae;0,2;7,72
San Nicolás (Nechí)_Atarraya - Atarraya_Curimata mivartii;0,51;8,3
Marralú_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;0,83;20,5
Marralú_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,36;11,17
Marralú_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;1,3;28,46
Marralú_Atarraya - Atarraya_Megaleporinus muyscorum;4;37,15
Marralú_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;0,76;7
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Ctenolucius hujeta;0,2;1,8
Palo Alto_Red de enmalle - Red de encierro chuchaca_Pseudoplatystoma magdaleniatum;0,58;1,93
Marralú_Atarraya - Atarraya_Plagioscion magdalenae;0,6;2,4
Marralú_Atarraya - Atarraya_Prochilodus magdalenae;2;36,5
Marralú_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;0,35;14,75
Marralú_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;3;38,44
Palo Alto_Red de enmalle - Red de encierro chuchaca_Oreochromis niloticus;5;8
Palotal_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;5,5;19
Palotal_Red de enmalle - Red de enmalle fija continental_Cyphocharax magdalenae;4,5;11,5
Palotal_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;4;12,5
Palotal_Atarraya - Atarraya_Prochilodus magdalenae;6;16,7
Palotal_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;2,67;6,5
Palo Alto_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;1;1
San Nicolás (Nechí)_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,42;7,2
Marralú_Atarraya - Atarraya_Hoplias malabaricus;5;45,85
Marralú_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1,38;6,5
Tasajera La Playa_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus synagris;2;28
Palotal_Atarraya - Atarraya_Caquetaia kraussii;4;6,8
Palotal_Red de enmalle - Red de enmalle fija continental_Caquetaia kraussii;4;7
El Puente_Red de enmalle - Red de encierro rastra_Prochilodus magdalenae;1,9;82,56
El Puente_Red de enmalle - Red de encierro rastra_Sorubim cuspicaudus;1;8
Marralú_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,25;12
Palotal_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1,8;6
Palotal_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;4;9,47
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Cathorops mapale;1;17,6
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Cathorops mapale;1;10,45
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Centropomus undecimalis;0,75;11
