SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Bocanegra_Chinchorro marino - Chinchorro marino_Elops smithi;0,36;0,94
Bocanegra_Chinchorro marino - Chinchorro marino_Mugil curema;0,3;1,6
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;2,51;23,5
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,79;3,5
Las Flores_Línea de mano - Línea de mano fija marina_Macrodon ancylodon;1,3;1,3
Santa Rosa_Buceo - Buceo marino mixto_Epinephelus striatus;2;6,35
Santa Rosa_Buceo - Buceo marino mixto_Sphyraena barracuda;4,5;4,5
Puerto La Candelaria_Chinchorro continental - Chinchorro continental_Cynopotamus magdalenae;0,17;1,4
Puerto La Candelaria_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;0,32;1,26
Puerto de Gamarra_Chinchorro continental - Chinchorro continental_Megaleporinus muyscorum;1,29;36
Locadía_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;0,75;10,9
Locadía_Línea de mano - Línea de mano fija marina_Bagre filamentosus;1;8,1
Locadía_Línea de mano - Línea de mano fija marina_Lactophrys trigonus;3,3;3,3
Plaza de mercado (La Dorada)_Chinchorro continental - Chinchorra_Isorineloricaria tenuicauda;1,11;2,85
Morrosquillo_Línea de mano - Línea de mano fija marina_Bairdiella ronchus;0,5;2,5
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Sternopygus aequilabiatus;5,1;25
Las Tenazas_Línea de mano - Línea de mano fija marina_Rhomboplites aurorubens;0,41;2,39
Las Tenazas_Línea de mano - Línea de mano fija marina_Holocentrus adscensionis;0,2;1,67
Arroyito_Línea de mano - Línea de mano fija marina_Larimus breviceps;0,5;0,5
Arroyito_Línea de mano - Línea de mano fija marina_Rachycentron canadum;1;6,97
Arroyito_Línea de mano - Línea de mano fija marina_Sciades proops;0,5;4,01
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Alectis ciliaris;3,1;55
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Diplodus caudimacula;3;3
Puerto Asure_Chinchorro continental - Chinchorra_Megaleporinus muyscorum;1,17;18,99
Puerto Simití_Atarraya - Atarraya_Caquetaia kraussii;1,15;5,84
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;6,56
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;1;5
Puerto Simití_Atarraya - Atarraya_Hypostomus hondae;0,28;1,7
Puerto Simití_Atarraya - Atarraya_Pimelodus yuma;0,52;4
Puerto Simití_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;0,37;7,72
Barrio Chino_Red de enmalle - Red de enmalle de deriva continental_Megalops atlanticus;4,13;4,13
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Oreochromis niloticus;20,5;29,5
Mayapo_Buceo - Buceo de langosta_Pomacanthus paru;2,05;2,95
Mayapo_Buceo - Buceo de langosta_Lachnolaimus maximus;3,1;4
Mayapo_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;1;6,35
Barrio La Unión_Línea de mano - Línea de mano correteo curricán o trolling_Thunnus alalunga;6,34;50,74
Arquimedes_Línea de mano - Línea de mano fija marina_Caranx crysos;0,3;4,62
Morrosquillo_Línea de mano - Línea de mano fija marina_Alectis ciliaris;0,5;3
Morrosquillo_Línea de mano - Línea de mano fija marina_Eugerres plumieri;0,5;3
Morrosquillo_Línea de mano - Línea de mano fija marina_Anisotremus surinamensis;1,05;1,51
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1,12;16,62
Isla Fuerte_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;1,5;12,25
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Bagre filamentosus;0,38;6,47
Cangrejito_Red de enmalle - Red de enmalle fija marina_Lobotes surinamensis;1,2;3
Mayapo_Red de enmalle - Red de enmalle fija marina_Priacanthus arenatus;1,05;1,95
Mayapo_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;1,4;3,6
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Calamus penna;1,55;2,9
Manaure Centro_Red de enmalle - Red de enmalle fija marina_Larimus breviceps;6,55;18
Cangrejito_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus adscensionis;4;67,7
Taganga_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1;5,7
Taganga_Línea de mano - Línea de mano fija marina_Carcharhinus porosus;2,7;17,73
Mayapo_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus;1,05;1,95
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Menticirrhus americanus;0,13;2
Isla Fuerte_Línea de mano - Línea de mano fija marina_Trachinocephalus myops;0,54;3,25
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus analis;1,5;13,5
Isla Fuerte_Línea de mano - Línea de mano fija marina_Trachinotus falcatus;0,69;8,6
La Punta_Buceo - Buceo de caracol_Megalops atlanticus;10,2;10,2
Concepción - Tacamocho_Chinchorro continental - Chinchorra_Caquetaia kraussii;0,42;1,37
Puente Chambacú - Río Jella_Línea de mano - Línea de mano fija marina_Calamus brachysomus;2,7;31,4
Caño Lobo_Línea de mano - Línea de mano fija marina_Eugerres plumieri;1,5;5
Caño Lobo_Línea de mano - Línea de mano fija marina_Hypanus guttatus;2;9,85
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Caranx bartholomaei;2;2
Barrio La Unión_Línea de mano - Línea de mano correteo curricán o trolling_Katsuwonus pelamis;3,01;3,19
Rincón del Mar_Línea de mano - Línea de mano fija marina_Elops smithi;0,38;2,8
Mercado (Lorica)_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;0,32;3,8
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;2,5;18,42
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Caranx latus;13,15;15,85
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;1,5;11,5
Berlín_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;0,33;3,9
Berlín_Atarraya - Atarraya_Sorubim cuspicaudus;0,44;2,64
San Luis_Atarraya - Atarraya_Caquetaia kraussii;0,4;3,08
Isla Fuerte_Línea de mano - Línea de mano fija marina_Elagatis bipinnulata;1,96;21,1
Isla Fuerte_Línea de mano - Línea de mano fija marina_Pterois volitans;0,35;0,35
Codis_Línea de mano - Línea de mano fija marina_Trichiurus lepturus;1,53;18,25
Codis_Línea de mano - Línea de mano fija marina_Cynoscion acoupa;1,47;6,27
Isla Fuerte_Línea de mano - Línea de mano fija marina_Ginglymostoma cirratum;3,3;20
Isla Fuerte_Línea de mano - Línea de mano fija marina_Mulloidichthys martinicus;1;4,42
Las Delicias_Red de enmalle - Red de enmalle fija marina_Selar crumenophthalmus;1;7,7
Puerto Simití_Atarraya - Atarraya_Curimata mivartii;0,51;4,36
Las Delicias_Red de enmalle - Red de enmalle fija marina_Galeocerdo cuvier;5;5
Las Delicias_Red de enmalle - Red de enmalle fija marina_Mugil curema;1;15,6
Las Delicias_Red de enmalle - Red de enmalle fija marina_Scaridae;1;6,5
Las Delicias_Red de enmalle - Red de enmalle fija marina_Albula vulpes;1;9,3
Las Delicias_Red de enmalle - Red de enmalle de encierro marina_Chloroscombrus chrysurus;8,6;379
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Oligoplites saliens;0,41;1
Sempegua_Chinchorro continental - Chinchorro continental_Pseudoplatystoma magdaleniatum;1,5;6,65
Puerto Serviez_Atarraya - Atarraya_Piaractus brachypomus;9;9
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Anisotremus virginicus;0,2;1,2
Santa Rosa_Buceo - Buceo marino mixto_Mycteroperca bonaci;2,2;10
La Gloria_Chinchorro continental - Chinchorra_Triportheus magdalenae;2,85;8,7
Lomita Arena_Red de enmalle - Red de enmalle fija marina_Kyphosus sectatrix;0,5;58,24
La Gloria_Palangre o Espinel - Palangre calandrio_Piaractus brachypomus;1,5;10,5
Barrio La Unión_Red de enmalle - Red de enmalle fija marina_Rachycentron canadum;9,2;9,2
Barrio La Unión_Línea de mano - Línea de mano correteo curricán o trolling_Caranx crysos;2,5;2,5
Berlín_Atarraya - Atarraya_Caquetaia kraussii;0,19;1,57
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorra_Ageneiosus pardalis;2,15;11,6
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorra_Piaractus brachypomus;11,6;12,95
El Muelle (Barrancabermeja)_Chinchorro continental - Chinchorra_Cynopotamus magdalenae;3,85;8,56
Isla Fuerte_Buceo - Buceo marino mixto_Lutjanus analis;1,25;12,57
Isla Fuerte_Buceo - Buceo marino mixto_Ocyurus chrysurus;1,1;4
Isla Fuerte_Buceo - Buceo marino mixto_Lobatus gigas;1,5;8
Agropez_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;1,5;20,95
Agropez_Línea de mano - Línea de mano fija marina_Selene setapinnis;0,75;8
Santa Clara_Red de enmalle - Red de enmalle de deriva continental_Pimelodus yuma;0,5;2,88
Agropez_Línea de mano - Línea de mano fija marina_Conodon nobilis;1,98;6,3
Taganga_Línea de mano - Línea de mano fija marina_Mycteroperca bonaci;4,03;24,36
Taganga_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;1;1
Bahía de Cispatá_Palangre o Espinel - Palangre o espinel de fondo_Lobotes surinamensis;0,66;6,85
Puerto de Gamarra_Chinchorro continental - Chinchorro continental_Oreochromis niloticus;2,54;82,45
Puerto de Gamarra_Chinchorro continental - Chinchorro continental_Piaractus brachypomus;6,71;17,45
Bahía de Cispatá_Atarraya - Atarraya_Balistes vetula;0,75;0,75
Isla Fuerte_Línea de mano - Línea de mano fija marina_Makaira nigricans;7,35;66,65
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Callinectes sapidus;0,7;10
Bahía de Cispatá_Chinchorro marino - Chinchorro marino_Callinectes bocourti;0,82;1,93
Isla Fuerte_Línea de mano - Línea de mano fija marina_Mycteroperca rubra;6,3;6,3
Taganga_Línea de mano - Línea de mano fija marina_Scomberomorus cavalla;2,1;21
Taganga_Línea de mano - Línea de mano fija marina_Epinephelus adscensionis;2,15;25,16
El Roto_Red de enmalle - Red de enmalle fija marina_Ocyurus chrysurus;5,25;5,25
Morrosquillo_Línea de mano - Línea de mano fija marina_Conodon nobilis;1,05;3,75
Orejero_Atarraya - Atarraya_Curimata mivartii;0,44;0,44
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Colossoma macropomum;18;18
Locadía_Línea de mano - Línea de mano fija marina_Trachinotus falcatus;0,18;0,39
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Sciades proops;2,5;2,5
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Centropomus pectinatus;1,55;2,45
Puerto Arriba (Dibulla)_Línea de mano - Línea de mano fija marina_Chere;2;11,12
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Trachinotus rhodopus;2,4;11,4
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Polydactylus opercularis;0,72;10,4
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus argentiventris;0,91;16,9
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Anisotremus interruptus;1;5,25
Champaché_Línea de mano - Línea de mano fija marina_Caranx hippos;1,5;18,35
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Diapterus auratus;2,9;54,24
Cangrejito_Red de enmalle - Red de enmalle fija marina_Haemulopsis corvinaeformis;1,3;10,5
Barrio La Unión_Red de enmalle - Red de enmalle fija marina_Oligoplites palometa;7,5;7,5
Jurubirá_Línea de mano - Línea de mano fija marina_Elagatis bipinnulata;0,8;13
Palanca_Red de enmalle - Red de enmalle fija continental_Geophagus steindachneri;0,52;1,69
Puerto del Pescado (San José Del Guaviare)_Red de enmalle - Red de enmalle fija continental_Brycon amazonicus;1,64;112,3
Jurubirá_Línea de mano - Línea de mano fija marina_Lutjanus novemfasciatus;1,5;22,65
Puerto del Pescado (San José Del Guaviare)_Red de enmalle - Red de enmalle fija continental_Pinirampus pirinampu;2,62;24,42
Puerto del Pescado (San José Del Guaviare)_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;1,45;16,44
Jurubirá_Línea de mano - Línea de mano fija marina_Lutjanus peru;1;10,88
Chapundun_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;1,26;19,92
Puerto Amor_Chinchorro continental - Chinchorra_Plagioscion magdalenae;1,74;6,12
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Selene setapinnis;1,2;3,02
Popoya Playa_Red de enmalle - Red de enmalle fija marina_Oligoplites saliens;1,11;1,2
Mayapo_Línea de mano - Línea de mano fija marina_Lutjanus synagris;0,68;3
Mayapo_Línea de mano - Línea de mano fija marina_Priacanthus arenatus;1,3;6,7
Mayapo_Línea de mano - Línea de mano fija marina_Eucinostomus melanopterus;2;17,45
Mayapo_Línea de mano - Línea de mano fija marina_Balistes capriscus;3;12
Mayapo_Red de enmalle - Red de enmalle fija marina_Cynoscion leiarchus;1,33;6
Puerto Abajo (Dibulla)_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;5;80,45
Buenavista (La Dorada)_Línea de mano - Línea de mano fija continental_Piaractus brachypomus;1,5;4,44
Puerto de Gamarra_Chinchorro continental - Chinchorro continental_Colossoma macropomum;2,6;21,4
Puerto de Gamarra_Chinchorro continental - Chinchorro continental_Sternopygus aequilabiatus;1,55;19,75
Las Tenazas_Línea de mano - Línea de mano fija marina_Lobotes surinamensis;1;2,5
San Luis_Atarraya - Atarraya_Plagioscion magdalenae;0,84;2,16
Bazurto_Línea de mano - Línea de mano fija marina_Lutjanus jocu;1,64;4,16
Bazurto_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1,25;29,2
Bazurto_Línea de mano - Línea de mano fija marina_Haemulon plumieri;1;18,77
Bazurto_Línea de mano - Línea de mano fija marina_Holocentrus adscensionis;2,6;4
Bazurto_Línea de mano - Línea de mano fija marina_Caranx latus;1,11;19,68
Bazurto_Línea de mano - Línea de mano fija marina_Trachinotus falcatus;2,6;8
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Semaprochilodus insignis;9,44;48,8
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Prochilodus rubrotaeniatus;6,8;52,95
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Chaetobranchus semifasciatus;3,6;43,55
Jurubirá_Palangre o Espinel - Palangre o espinel de fondo_Megalops atlanticus;10,9;25,1
Isla Fuerte_Buceo - Buceo marino mixto_Sphyraena barracuda;1,5;6,5
Isla Fuerte_Buceo - Buceo marino mixto_Lutjanus purpureus;8;8
Isla Fuerte_Línea de mano - Línea de mano correteo curricán o trolling_Lutjanus jocu;2;20
Margento_Línea de mano - Línea de mano fija continental_Ageneiosus pardalis;1,04;2,22
Arrimadero La Unión_Red de enmalle - Red de enmalle fija marina_Trachinotus rhodopus;2,9;14,6
Las Tenazas_Línea de mano - Línea de mano fija marina_Cynoscion jamaicensis;0,42;2,4
Isla Fuerte_Buceo - Buceo marino mixto_Scomberomorus cavalla;1,25;4,34
Las Delicias_Red de enmalle - Red de enmalle fija marina_Priacanthus arenatus;1;6
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Orthopristis ruber;1,09;2,62
La Gloria_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;1,62;5,88
La Gloria_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,5;2,5
Taganga_Línea de mano - Línea de mano fija marina_Lutjanus cyanopterus;4,88;44,44
Puerto Arriba (Dibulla)_Trampas o Nasas - Nasas de Peces_Pseudupeneus maculatus;2;2
Agropez_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;1,5;7,19
Arrimadero La Unión_Línea de mano - Línea de mano fija marina_Hoplopagrus guentherii;3;15,47
La Punta_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;2,48;7,95
Desembarcadero (Supía)_Atarraya - Atarraya_Pseudoplatystoma magdaleniatum;3,03;10,87
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Orthopristis ruber;1,02;1,38
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Mugil spp.;1,86;3,24
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Balistes capriscus;0,41;2,35
Puerto Wilches_Red de enmalle - Red de enmalle de deriva continental_Pimelodus grosskopfii;139,5;139,5
Bocanegra_Chinchorro marino - Chinchorro marino_Caranx latus;0,47;3,81
Puerto Serviez_Atarraya - Atarraya rastra_Isorineloricaria tenuicauda;1,75;3,75
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Lagocephalus laevigatus;0,25;2
El Malecón (Neiva)_Atarraya - Atarraya_Panaque cochliodon;0,36;2,18
Berlín_Atarraya - Atarraya_Sternopygus aequilabiatus;0,8;3,49
Berlín_Atarraya - Atarraya_Curimata mivartii;0,17;1,83
San Nicolás (Nechí)_Chinchorro continental - Chinchorro continental_Caquetaia kraussii;2,1;2,1
Bodega AZAFRA_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;150,2;150,2
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Brotula clarkae;2,28;217,51
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Mustelus henlei;1,5;16,75
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Coryphaena hippurus;4,35;11,25
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Hyporthodus acanthistius;1,5;78,5
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus sp1.;1;42,1
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Caulolatilus affinis;0,5;7
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Seriola rivoliana;6,65;18,35
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Hemanthias signifer;0,5;5,6
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus colorado;3;180
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Seriola peruana;6;26,32
Cabo Marzo_Palangre o Espinel - Palangre o espinel de fondo_Istiophorus platypterus;15,15;17,85
Cabo Marzo_Línea de mano - Línea de mano fija marina_Lutjanus peru;4;120,75
Nueva Colonia_Red de enmalle - Red de enmalle fija marina_Oreochromis mossambicus;30;30
Cabo Marzo_Línea de mano - Línea de mano fija marina_Lutjanus guttatus;4,2;96,88
Cabo Marzo_Línea de mano - Línea de mano fija marina_Caranx caninus;6;89,55
Cabo Marzo_Línea de mano - Línea de mano fija marina_Haemulon flaviguttatum;4,1;74,95
Cabo Marzo_Línea de mano - Línea de mano fija marina_Caranx sexfasciatus;7;104
Cabo Marzo_Línea de mano - Línea de mano fija marina_Seriola rivoliana;3,9;107,2
Cabo Marzo_Línea de mano - Línea de mano fija marina_Calamus brachysomus;1,15;3,85
