SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Caño Lobo_Línea de mano - Línea de mano fija marina_Centropomus undecimalis;1;28;0,12;1,5
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Panulirus argus;1;8;0,21;0,6
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Archosargus rhomboidalis;1;9;0,15;0,56
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;1;5;0,3;1,19
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Menticirrhus americanus;1;2;0,51;0,75
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Prochilodus mariae;2;101;0,42;0,75
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Pterygoplichthys multiradiatus;6;127;0,29;0,43
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Pygocentrus cariba;2;26;0,32;0,67
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Megaleporinus sp. 1;2;15;0,63;0,8
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Piaractus orinoquensis;1;6;1,99;4,7
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Mugil incilis;18;56;0,1;0,15
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Centropomus undecimalis;1;16;0,17;1,2
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Chloroscombrus chrysurus;3;19;0,11;0,25
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;6;148;0,13;0,48
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;4;31;0,13;0,22
Las Balsas_Red de enmalle - Red de enmalle fija continental_Pimelodus blochii;257;622;0,13;0,14
Las Balsas_Red de enmalle - Red de enmalle fija continental_Sorubim lima;30;96;0,24;0,31
Las Balsas_Red de enmalle - Red de enmalle fija continental_Hemisorubim platyrhynchos;23;41;0,23;0,25
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Cathorops mapale;18;79;0,1;0,15
Caño Lobo_Línea de mano - Línea de mano fija marina_Eugerres plumieri;4;28;0,12;0,62
Caño Lobo_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;4;28;0,31;0,67
Caño Lobo_Palangre o Espinel - Palangre o espinel de fondo_Hypanus guttatus;1;3;2,22;10,55
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;1;18;0,14;2,81
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Caranx crysos;2;38;0,23;0,66
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Caranx hippos;1;33;0,15;6,96
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Tylosurus acus;2;15;0,3;0,99
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Prochilodus magdalenae;4;140;0,12;0,35
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Plagioscion magdalenae;1;17;0,14;0,7
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Megaleporinus muyscorum;3;29;0,13;0,24
Puerto Franco_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;9;175;0,19;0,57
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Trachinotus carolinus;1;5;0,33;2,75
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Chloroscombrus chrysurus;7;35;0,14;0,21
Caño Lobo_Trampas o Nasas - Nasa de jaibas_Callinectes sapidus; ; ; ; 
Sempegua_Red de enmalle - Red de enmalle fija continental ciénaga_Cynopotamus magdalenae;3;8;0,12;0,17
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma orinocoense;1;10;3,02;8,52
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Ageneiosus inermis;1;10;0,7;1,89
El Muelle (Puerto López)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma metaense;1;5;2,46;11,6
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Plagioscion squamosissimus;1;3;1,64;3,1
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Hemisorubim platyrhynchos;2;2;0,5;0,5
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Brachyplatystoma vaillantii;1;16;0,98;2,07
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Brycon amazonicus;1;11;0,54;1,56
Caño Lobo_Buceo - Buceo de peces_Centropomus undecimalis;1;9;0,39;1,9
Caño Lobo_Buceo - Buceo de peces_Epinephelus itajara;1;3;1;4
Caño Lobo_Buceo - Buceo de peces_Ariopsis canteri;2;2;0,75;0,75
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Mugil incilis;14;277;0,23;0,35
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;16;77;0,19;0,2
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Callinectes bocourti;7;43;0,21;0,3
Puerto El Waffe marino_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;11;151;0,19;0,2
Puerto Amor_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;3;100;0,13;0,45
Las Balsas_Red de enmalle - Red de enmalle fija continental_Zungaro zungaro;1;2;18,45;38
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Archosargus rhomboidalis;19;49;0,17;0,23
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Haemulon plumieri;22;67;0,18;0,24
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Chloroscombrus chrysurus;21;48;0,17;0,21
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Bagre filamentosus;8;22;0,3;0,4
Caño Lobo_Buceo - Buceo de peces_Eugerres plumieri;2;22;0,16;0,8
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus brasiliensis;1;7;0,6;2,5
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Lutjanus analis;5;19;0,3;0,42
