SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_NUMERO_DE_EJEMPLARES_hist;Cuartil_sup_NUMERO_DE_EJEMPLARES_hist;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Marralú_Chinchorro continental - Chinchorro continental_Pimelodus yuma;21;1300;0,06;0,09
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1;11;0,37;3,5
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Myloplus asterias;45;177;0,21;0,24
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Heros severus;20;157;0,17;0,18
Puerto Principal (Leticia)_Red de enmalle - Red de enmalle fija continental_Pygocentrus nattereri;25;164;0,16;0,4
Puerto Serviez_Red de enmalle - Red de enmalle fija continental_Prochilodus magdalenae;21;246;0,1;0,45
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus brasiliensis;1;19;0,45;3,22
La Isla de los Palacios_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;1;39;0,29;0,42
Rincón del Mar_Línea de mano - Línea de mano fija marina_Tylosurus crocodilus;2;4;0,44;1,27
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Mugil liza;2;19;0,94;1,77
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle de encierro marina_Carcharhinus porosus;1;1;3;3
Rincón del Mar_Buceo - Buceo marino mixto_Sparisoma chrysopterum;3;49;0,16;0,39
Rincón del Mar_Buceo - Buceo marino mixto_Sphyraena barracuda;1;4;1;3,5
Taganga_Chinchorro marino - Chinchorro velao_Scomberomorus brasiliensis; ; ; ; 
Agropez_Red de enmalle - Red de enmalle fija marina_Scomberomorus regalis;1;31;0,22;2,39
Agropez_Línea de mano - Línea de mano fija marina_Caranx latus;1;17;0,22;1,7
Las Flores_Línea de mano - Línea de mano fija marina_Lutjanus griseus;6;6;0,52;0,52
Paujil_Arpón - Arpón_Satanoperca daemon;32;220;0,13;0,26
Berlín_Atarraya - Atarraya_Cyphocharax magdalenae;6;177;0,04;0,09
Berlín_Atarraya - Atarraya_Caquetaia kraussii;2;15;0,06;0,14
Taganga_Línea de mano - Línea de mano fija marina_Lutjanus vivanus; ; ; ; 
Rincón del Mar_Red de enmalle - Red de enmalle de encierro marina_Euthynnus alletteratus;8;114;0,24;0,47
Guazo_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;4;0,16;1,08
Paujil_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;1;4;1,26;2,93
Paujil_Palangre o Espinel - Palangre calandrio_Phractocephalus hemioliopterus;2;5;0,6;5,91
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;2;15;0,16;0,5
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Trichiurus lepturus; ; ; ; 
Puerto Cabuyaro_Chinchorro continental - Chinchorro continental_Zungaro zungaro;1;3;2,5;35,43
Codis_Red de enmalle - Red de enmalle fija marina_Trachinotus falcatus;3;13;0,29;1,38
Guazo_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;1;5;0,17;1,15
Candelaria (Chimichagua)_Red de enmalle - Red de enmalle fija continental ciénaga_Cyphocharax magdalenae;17;785;0,06;0,06
Guacamayo_Red de enmalle - Red de enmalle fija continental_Plagioscion magdalenae;1;39;0,19;1,62
Villanueva_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;2;0,31;0,49
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Gerres cinereus;2;89;0,11;0,33
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Haemulon plumieri;1;5;0,13;0,29
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Upeneus parvus;1;23;0,19;0,6
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Elops smithi;1;13;0,21;0,95
Isla Fuerte_Buceo - Buceo marino mixto_Balistes vetula;1;3;0,67;1,75
Rincón del Mar_Línea de mano - Línea de mano fija marina_Haemulon plumieri;2;23;0,08;0,3
Rincón del Mar_Línea de mano - Línea de mano fija marina_Balistes vetula;3;8;0,17;0,58
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Scomberomorus cavalla;1;2;1,5;4,1
Taganga_Línea de mano - Línea de mano fija marina_Selene vomer; ; ; ; 
Puerto Cabuyaro_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma orinocoense;1;10;1,04;3,51
Puerto Cabuyaro_Red de enmalle - Red de enmalle fija continental_Hydrolycus armatus;1;1;1,7;5,3
El Muelle (Barrancabermeja)_Chinchorro continental - Chinchorra_Ageneiosus pardalis;2;18;0,46;1,41
La Rampa (Barrancabermeja)_Atarraya - Atarraya_Prochilodus magdalenae;49;954;0,14;0,45
Agropesur_Changa - Red de arrastre artesanal o changa_Trachypenaeus spp.; ; ; ; 
Agropesur_Changa - Red de arrastre artesanal o changa_Xiphopenaeus riveti; ; ; ; 
Agropesur_Changa - Red de arrastre artesanal o changa_Melongena patula; ; ; ; 
Villanueva_Red de enmalle - Red de enmalle de encierro continental_Curimata mivartii;19;205;0,13;0,18
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorra_Prochilodus magdalenae;46;1787;0,12;0,33
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorra_Pseudoplatystoma magdaleniatum;1;22;2,43;6,68
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorra_Brycon moorei;2;3;2,51;2,74
Costilla_Atarraya - Atarraya_Megaleporinus muyscorum;2;3;0,4;0,43
Costilla_Atarraya - Atarraya_Plagioscion magdalenae;2;11;0,23;1,17
Playa Totumo_Red de enmalle - Red de enmalle fija marina_Trachinotus carolinus;37;37;0,14;0,14
El Muelle (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;33;0,8;1,5
Las Flores_Línea de mano - Línea de mano fija marina_Lobotes surinamensis;1;3;1,64;4,9
Puerto Cabuyaro_Atarraya - Atarraya_Zungaro zungaro;1;3;3,55;31,1
Puerto Cabuyaro_Atarraya - Atarraya_Hydrolycus armatus;1;2;4,68;9,72
Isla Fuerte_Línea de mano - Línea de mano fija marina_Lutjanus analis;1;6;0,67;6
Isla Fuerte_Línea de mano - Línea de mano fija marina_Thunnus alalunga;2;13;0,63;1,94
Belén (San Marcos)_Chinchorro continental - Chinchorra_Oreochromis niloticus;7;214;0,12;0,57
Taganga_Chinchorro marino - Chinchorro velao_Sphyraena guachancho; ; ; ; 
Belén (San Marcos)_Chinchorro continental - Chinchorra_Plagioscion magdalenae;2;38;0,34;0,95
Belén (San Marcos)_Chinchorro continental - Chinchorra_Caquetaia kraussii;9;34;0,12;0,17
Clarinetero_Atarraya - Atarraya_Hydrolycus armatus;1;26;1,01;2,9
Puerto Boca_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;1;123;0,17;0,66
Puerto Boca_Chinchorro continental - Chinchorro continental_Megaleporinus muyscorum;12;67;0,16;0,45
Santuario_Arpón - Arpón_Pseudoplatystoma punctifer;1;11;4,02;9,04
Santuario_Arpón - Arpón_Zungaro zungaro;1;4;6,68;19
Santuario_Arpón - Arpón_Brycon hilarii;2;3;1,58;2,93
Pueblo Lindo o Caimanera_Atarraya - Atarraya_Prochilodus magdalenae;6;69;0,2;0,39
Guazo_Red de enmalle - Red de enmalle de deriva continental_Curimata mivartii;2;95;0,1;0,12
Guazo_Red de enmalle - Red de enmalle de deriva continental_Plagioscion magdalenae;1;2;0,2;2,21
Guazo_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;1;80;0,13;0,64
Nueva Estrella_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;25;0,2;0,3
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Prochilodus rubrotaeniatus;1;42;0,35;1,01
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Mylossoma albiscopum;1;30;0,15;0,3
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma tigrinum;1;5;1,03;2,74
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Calophysus macropterus;1;2;0,66;1,7
Poportín_Red de enmalle - Red de enmalle fija marina_Lachnolaimus maximus;4;16;0,25;0,37
Plaza de mercado (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pimelodus grosskopfii;25;25;0,08;0,08
La Punta_Red de enmalle - Red de enmalle fija marina_Elops smithi;2;17;0,16;0,45
La Punta_Red de enmalle - Red de enmalle fija marina_Caranx hippos;1;15;0,13;4,07
La Punta_Red de enmalle - Red de enmalle fija marina_Lutjanus jocu;1;2;0,64;2,87
Río San Miguel_Línea de mano - Línea de mano fija continental_Pseudoplatystoma punctifer;1;5;4,53;9,8
Isla Fuerte_Buceo - Buceo marino mixto_Aetobatus narinari;1;1;6,6;13,98
Río San Miguel_Línea de mano - Línea de mano fija continental_Brycon hilarii;1;3;0,61;2,22
Río San Miguel_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;1;4;0,4;1,31
Palanca_Red de enmalle - Red de enmalle fija continental_Cynopotamus magdalenae;1;10;0,14;0,32
Arquimedes_Línea de mano - Línea de mano fija marina_Lutjanus jocu;1;2;0,88;3,14
Palanca_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;1;3;0,34;1,5
Arroyito_Línea de mano - Línea de mano fija marina_Bagre filamentosus;2;7;0,4;0,65
Caño Lobo_Atarraya - Atarraya_Megalops atlanticus;1;9;0,25;2,43
Caño Lobo_Línea de mano - Línea de mano fija marina_Caranx hippos;10;27;0,14;0,23
Caño Lobo_Línea de mano - Línea de mano fija marina_Lutjanus purpureus;1;11;0,24;0,5
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Hydrolycus armatus;1;7;2,96;6,87
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma metaense;1;7;2,13;11,42
El Muelle (Puerto López)_Palangre o Espinel - Palangre calandrio_Piaractus orinoquensis;1;2;2;5,47
Macurutú - Saloa_Atarraya - Atarraya_Oreochromis niloticus;6;65;0,14;0,36
Las Balsas_Chinchorro continental - Chinchorro continental_Sorubim lima;12;39;0,24;0,57
Las Balsas_Chinchorro continental - Chinchorro continental_Hemisorubim platyrhynchos;11;38;0,23;0,3
Las Balsas_Chinchorro continental - Chinchorro continental_Exallodontus aguanai;25;93;0,11;0,12
Las Balsas_Chinchorro continental - Chinchorro continental_Megalonema platycephalum;8;29;0,26;0,35
Casino_Línea de mano - Línea de mano fija marina_Sphyraena guachancho;2;96;0,1;0,61
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Brachyplatystoma platynemum;1;32;2,25;5,09
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Phractocephalus hemioliopterus;1;2;5,86;22,95
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle fija continental_Ageneiosus inermis;2;53;0,49;1,29
Berrugas_Palangre o Espinel - Palangre o espinel de superficie_Rachycentron canadum;1;1;6,5;6,5
El Muelle (Puerto López)_Chinchorro continental - Chinchorro continental_Brachyplatystoma juruense;1;2;2;4
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma platynemum;1;40;1,66;5,38
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Pellona flavipinnis;2;4;0,62;1,69
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus inermis;6;107;0,55;1,49
Las Balsas_Red de enmalle - Red de enmalle fija continental_Prochilodus mariae;17;82;0,45;0,64
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma metaense;1;13;2,67;10,13
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Plagioscion squamosissimus;1;41;0,77;3,68
Arroyito_Línea de mano - Línea de mano fija marina_Caranx hippos;1;7;0,41;1,61
Berrugas_Buceo - Buceo de peces_Lutjanus synagris;1;8;0,18;0,5
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Boulengerella  cuvieri;2;4;0,95;1,04
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Pygocentrus cariba;1;12;0,4;0,76
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Plagioscion squamosissimus;1;9;1,12;2,22
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Hemisorubim platyrhynchos;2;2;1,21;1,34
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Mylossoma albiscopum;2;17;0,31;0,86
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Prochilodus mariae;2;16;0,26;0,75
Puerto Rico [Meta]_Red de enmalle - Red de enmalle fija continental_Semaprochilodus laticeps;1;3;1,48;2,76
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;1;7;1,63;4,02
Puerto Rico [Meta]_Palangre o Espinel - Palangre calandrio_Piaractus orinoquensis;1;8;1,91;5,12
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma orinocoense;1;24;1,4;8,79
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Brycon sp.;1;26;0,89;3,04
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Hydrolycus armatus;1;9;1,15;7,32
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;1;38;0,74;2,92
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Brachyplatystoma vaillantii;1;45;0,66;2,48
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Piaractus orinoquensis;1;5;2;6,55
Marralú_Trampas o Nasas - Nasas de Peces_Rhamdia guatemalensis;30;40;0,14;0,25
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma metaense;1;14;2,39;15,81
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Mylossoma albiscopum;1;285;0,31;1,69
Sempegua_Chinchorro continental - Chinchorra_Prochilodus magdalenae;10;241;0,12;0,26
Casco Urbano (Arauca)_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma orinocoense;2;26;1,85;6,12
Casco Urbano (Arauca)_Red de enmalle - Red de enmalle fija continental_Phractocephalus hemioliopterus;1;14;3,28;15,58
Casco Urbano (Arauca)_Red de enmalle - Red de enmalle fija continental_Zungaro zungaro;1;9;4,92;22,8
Marralú_Chinchorro continental - Chinchorro continental_Curimata mivartii;16;203;0,09;0,14
Monserrate_Atarraya - Atarraya_Prochilodus mariae;14;98;0,35;0,64
Monserrate_Atarraya - Atarraya_Mylossoma albiscopum;7;109;0,25;0,39
Monserrate_Atarraya - Atarraya_Piaractus orinoquensis;5;13;0,68;2,65
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Selene setapinnis;2;2;0,43;0,43
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Scarus coeruleus; ; ; ; 
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Sparisoma chrysopterum; ; ; ; 
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Brachyplatystoma platynemum;1;25;1,76;6,45
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Brachyplatystoma filamentosum;1;2;9,66;45,9
Malecón (Puerto Gaitán)_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;1;3;3,34;37,12
Malecón (Puerto Gaitán)_Red de enmalle - Red de enmalle de deriva continental_Brachyplatystoma juruense;1;4;1,26;3,95
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Centropomus viridis;1;8;1,4;21,6
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Caranx vinctus;4;51;0,2;0,71
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Haemulon maculicauda;3;42;0,08;0,27
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Trachinotus rhodopus;1;10;0,34;1,42
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus inermis;3;62;0,11;0,64
Puerto Miraflores_Línea de mano - Línea de mano fija marina_Lutjanus aratus;1;31;0,28;2,15
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Mugil curema;2;8;0,3;0,65
Santuario_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma tigrinum;1;1;10,04;18,6
Bellavista_Chinchorro marino - Chinchorro de jala playa_Upeneus parvus;2;92;0,09;0,34
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Katsuwonus pelamis;1;105;0,24;1,8
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Zungaro zungaro;1;5;4,58;41,38
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Pseudoplatystoma metaense;1;16;2,38;9,28
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Brachyplatystoma platynemum;1;12;2,27;9,24
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Ageneiosus inermis;4;19;1,02;1,68
Puerto (Orocué)_Palangre o Espinel - Palangre calandrio_Pinirampus pirinampu;1;9;1,54;2,81
Bahía de Cispatá_Línea de mano - Línea de mano fija marina_Lagocephalus laevigatus;1;6;0,17;0,75
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Eucinostomus argenteus;51;204;0,04;0,05
Puerto La Candelaria_Chinchorro continental - Chinchorro continental_Curimata mivartii;3;15;0,14;0,16
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Ichthyoelephas longirostris;1;22;0,56;1,2
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;1;12;0,72;2,2
Champaché_Línea de mano - Línea de mano fija marina_Caranx latus;1;26;0,16;2,6
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;1;9;1,45;9,33
Buenavista (La Dorada)_Atarraya - Atarraya_Prochilodus magdalenae;6;449;0,12;0,43
Berlín_Línea de mano - Línea de mano fija continental_Sternopygus aequilabiatus;1;4;1;1,7
Champaché_Red de enmalle - Red de enmalle fija marina_Caranx hippos;1;10;0,09;4,68
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;3;105;0,14;0,59
Buenavista (La Dorada)_Red de enmalle - Red de enmalle de deriva continental_Sorubim cuspicaudus;1;8;0,6;2,3
Berlín_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;1;11;0,28;1,14
Santa Rosa_Red de enmalle - Red de enmalle de deriva marina_Lachnolaimus maximus;5;19;0,35;0,5
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Haemulon melanurum;3;3;0,33;0,33
Berlín_Chinchorro continental - Chinchorro continental_Ageneiosus pardalis;1;11;0,29;1,28
Nueva Estrella_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;1;6;0,38;2
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Prochilodus magdalenae;13;100;0,27;0,53
Carrizal_Red de enmalle - Red de enmalle fija marina_Sparisoma rubripinne;4;17;0,13;0,37
Nueva Estrella_Atarraya - Atarraya_Pimelodus yuma;9;57;0,08;0,11
Puerto Colorado_Línea de mano - Línea de mano fija continental_Sorubim cuspicaudus;1;3;0,56;1,83
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Hypanus guttatus;1;5;1,95;12,53
Nueva Estrella_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1;14;0,2;0,61
Cabo de la Vela_Red de enmalle - Red de enmalle fija marina_Anisotremus virginicus;1;5;0,17;0,33
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Scarus guacamaia;1;4;0,25;3,05
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Acanthurus coeruleus;2;9;0,14;0,34
Pantuuchitu_Red de enmalle - Red de enmalle fija marina_Sarda sarda;1;5;1,13;1,52
Punta Bonita_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus; ; ; ; 
Guazo_Red de enmalle - Red de enmalle fija continental_Oreochromis niloticus;1;3;0,09;0,71
Punta Bonita_Red de enmalle - Red de enmalle de deriva marina_Sphyraena ensis; ; ; ; 
Punta Bonita_Chinchorro marino - Chinchorro marino_Opisthonema spp.; ; ; ; 
Punta Bonita_Chinchorro marino - Chinchorro marino_Lutjanus spp.; ; ; ; 
Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Otros menudo; ; ; ; 
Pueblo Nuevo_Red de enmalle - Red de enmalle de deriva marina_Otros grueso; ; ; ; 
Morrosquillo_Atarraya - Atarraya_Centropomus undecimalis;1;21;0,19;4,5
Morrosquillo_Atarraya - Atarraya_Penaeus schmitti;12;115;0,03;0,05
Cecilia_Red de enmalle - Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;1;3;0,36;1,64
Méjico_Red de enmalle - Red de enmalle de deriva continental_Cynopotamus magdalenae;3;22;0,12;0,27
Méjico_Red de enmalle - Red de enmalle de deriva continental_Megaleporinus muyscorum;2;17;0,21;0,57
