SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_kg_IND_hist;Cuartil_sup_kg_IND_hist
Pantuuchitu_ Red de enmalle fija marina_Elops smithi;0,54000001;1,548000026
Pantuuchitu_ Red de enmalle fija marina_Chloroscombrus chrysurus;0,108999996;0,179999999
Pantuuchitu_ Red de enmalle fija marina_Caranx crysos;0,196666669;1,535500026
Pantuuchitu_ Red de enmalle fija marina_Centropomus ensiferus;0,815000007;3,020000041
Pantuuchitu_ Red de enmalle fija marina_Haemulon plumieri;0,146785714;0,377166665
Desembarcadero (Murindó)_ Red de enmalle fija continental_Prochilodus magdalenae;0,260000001;0,319999996
Desembarcadero (Murindó)_ Red de enmalle fija continental_Hoplias malabaricus;0,329999992;0,660000006
Desembarcadero (Murindó)_ Red de enmalle fija continental_Caquetaia kraussii;0,209999995;0,300000012
Desembarcadero (Murindó)_ Red de enmalle fija continental_Ageneiosus pardalis;0,330000008;0,595999986
Tajamar Occidental_ Línea de mano cometa_Centropomus undecimalis;1,549999952;6,300000191
Pantuuchitu_ Red de enmalle fija marina_Anisotremus surinamensis;0,155555553;1,050000012
Bahía de Santa Marta_ Línea de mano fija marina_Sphyraena guachancho;0,207499996;0,699999988
Rincón_ Red de enmalle fija continental_Caquetaia kraussii;0,061111112;0,100000004
Rincón_ Red de enmalle fija continental_Cyphocharax magdalenae;0,042709739;0,068627451
Rincón_ Red de enmalle fija continental_Megaleporinus muyscorum;0,083333333;0,107692306
Rincón_ Red de enmalle fija continental_Hoplias malabaricus;0,107887502;0,170179033
Rincón_ Red de enmalle fija continental_Pimelodus yuma;0,050000001;0,083611111
Desembarcadero (Murindó)_ Red de enmalle fija continental_Megaleporinus muyscorum;0,330000013;0,574499997
Guazo_ Red de enmalle fija continental_Brycon moorei;0,215083336;0,628499997
Guazo_ Red de enmalle fija continental_Caquetaia kraussii;0,050000001;0,209999993
Guazo_ Red de enmalle fija continental_Pseudoplatystoma magdaleniatum;0,240000005;1,725500023
Riosucio_ Red de enmalle fija continental_Prochilodus magdalenae;0,280000004;0,320000008
Puerto Franco_ Red de enmalle fija continental_Hoplias malabaricus;0,243238102;0,394182997
Bahía de Santa Marta_ Línea de mano fija marina_Selar crumenophthalmus;0,175569447;0,255000003
Puerto Franco_ Red de enmalle fija continental_Plagioscion magdalenae;0,373666662;0,910000038
Bahía de Santa Marta_ Línea de mano fija marina_Euthynnus alletteratus;0,194714287;2,906250024
Nueva Colonia_ Red de enmalle fija marina_Centropomus undecimalis;1,388888889;3,75
Nueva Colonia_ Red de enmalle fija marina_Sciades proops;1,25;3
Guazo_ Red de enmalle de deriva continental_Prochilodus magdalenae;0,154904763;0,630000019
Guazo_ Red de enmalle de deriva continental_Pseudoplatystoma magdaleniatum;0,38499999;2,5
Guazo_ Red de enmalle de deriva continental_Ageneiosus pardalis;0,248833334;1,5
Bahía de Santa Marta_ Red de enmalle fija marina_Euthynnus alletteratus;0,277428573;2,123500007
Bahía de Santa Marta_ Red de enmalle fija marina_Priacanthus arenatus;0,241249998;1,042999983
Rincón_ Atarraya_Cyphocharax magdalenae;0,041033074;0,059999998
Nueva Colonia_ Red de enmalle fija marina_Mugil incilis;0,166662502;0,5
Nueva Colonia_ Red de enmalle fija marina_Centropomus ensiferus;0,175;0,235294118
