SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_VALOR_Hist;Cuartil_sup_VALOR_Hist
Orpua_Red de enmalle - Red de enmalle camaronera_Notarius troschelii;5000;38250
Orpua_Red de enmalle - Red de enmalle camaronera_Larimus argenteus;5000;68750
Orpua_Red de enmalle - Red de enmalle camaronera_Caranx caballus;5000;38250
Orpua_Red de enmalle - Red de enmalle camaronera_Macrodon mordax;5000;50000
Orpua_Red de enmalle - Red de enmalle camaronera_Penaeus occidentalis;33000;669900
Playa de Arusí_Línea de mano - Línea de mano fija marina_Thunnus albacares;39475;940450
Playa de Arusí_Línea de mano - Línea de mano fija marina_Seriola rivoliana;49000;885200
La T_Red de enmalle - Red de enmalle de encierro marina_Haemulon plumieri;68125;790250
La T_Red de enmalle - Red de enmalle de encierro marina_Seriola zonata;18450;342900
La T_Red de enmalle - Red de enmalle de encierro marina_Lutjanus synagris;33000;446000
Nueva Colonia_Red de enmalle - Red de enmalle de encierro marina_Mugil incilis;84900;694000
